model,eval_type,in_panel_accuracy,in_panel_macro_f1,novelty_precision,novelty_recall,novelty_f1,novelty_accuracy,tested,fetch_errors,predict_errors,timestamp
Closed-Set Baseline,closed_set,1.0,1.0,,,,,,,,2026-04-20T10:16:35.264693Z
Hard V1 (Fetch Failure),hard,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,2026-04-20T10:25:30.329242Z
Hard V2 Baseline,hard,0.8,0.6666666666666666,0.6666666666666666,0.125,0.21052631578947367,0.2857142857142857,21,0,0,2026-04-20T10:47:56.377376Z
Hard V3 Improved,hard,0.8,0.6666666666666666,0.9333333333333333,0.875,0.9032258064516129,0.8571428571428571,21,0,0,2026-04-20T13:54:36.798319Z
